epoch,train_loss,train_acc
0,0.17064276337623596,0.5546875
1,0.16840940713882446,0.609375
2,0.16162079572677612,0.609375
3,0.17370685935020447,0.5546875
4,0.15752243995666504,0.609375
5,0.15127015113830566,0.609375
6,0.20388999581336975,0.5
7,0.15637555718421936,0.609375
8,0.17159584164619446,0.5546875
9,0.17855697870254517,0.5546875
10,0.18602938950061798,0.5
11,0.175420880317688,0.5546875
12,0.193342924118042,0.5
13,0.150979682803154,0.6640625
14,0.17474403977394104,0.5546875
15,0.15707916021347046,0.609375
16,0.16169439256191254,0.609375
17,0.2588064968585968,0.4453125
18,0.1715208739042282,0.5546875
19,0.16409218311309814,0.5546875
20,0.1134769469499588,0.703125
21,0.08630777895450592,0.796875
22,0.02836003340780735,0.9375
23,0.01887837052345276,0.8984375
24,0.1674603968858719,0.8671875
25,0.21451884508132935,0.8828125
26,0.18435147404670715,0.8828125
27,0.0241787638515234,0.9375
28,0.019022079184651375,0.9375
29,0.01907998137176037,0.9375
30,0.015934167429804802,0.9375
31,0.027901310473680496,0.9375
32,0.027400948107242584,0.9375
33,0.019233014434576035,0.9375
34,0.024678600952029228,0.9375
35,0.023806091398000717,0.9375
36,0.1514987200498581,0.890625
37,0.01956685073673725,0.9453125
38,0.1618892401456833,0.890625
39,0.14801554381847382,0.890625
40,0.16389694809913635,0.890625
41,0.02808438055217266,0.9453125
42,0.018646441400051117,0.9453125
43,0.17943724989891052,0.890625
44,0.01883498765528202,0.9453125
45,0.009413663297891617,0.9453125
46,0.020274262875318527,0.9453125
47,0.16873085498809814,0.8984375
48,0.014001449570059776,0.953125
49,0.01735156588256359,0.953125
